,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Amerindian,0.023176841452002023,-0.0016155249298667913,-0.014370090166702107,0.027641848251056075,-0.006382175514641637,0.04009640935095051,-0.01722051389282661,0.011902372506467713,-0.027188554117984435,-0.02574790130463934,-0.09583899621733713,0.004882107665499311,-0.013452301393147952,0.0313162994548533,0.04982961477997282,0.0029023357627226023,-0.04841842416478459,-0.025528425172479424,-0.012099020003311815,0.024215334608250524,-0.15931211875384985,0.05705568900646084,-0.04763601373920991,-0.02728894493573424,0.04245597616191523
Arabian,0.023144551285975576,0.0030990134994677526,-0.016300736130353474,0.025211261176757066,-0.00533397861858384,0.03964243625107994,-0.014041908115785942,0.015795027455271657,-0.0264260691952853,-0.02566650621257903,-0.09558259374211103,0.004517679887122112,-0.012622722367268961,0.03115605084924586,0.04998233377539216,0.0032708175952042753,-0.04885541056333059,-0.025433836914576735,-0.012109732870881317,0.02464163292956363,-0.159112098767197,0.057277847132347015,-0.047735303608158114,-0.02719397165348439,0.04230549455540711
Armenian,0.023814717288955945,0.003355755005811237,-0.016610844662033077,0.025637983904964346,-0.0058917398457106075,0.03996710273652601,-0.013798982571981018,0.015627887844957118,-0.027825954630860964,-0.02553155313027393,-0.09561678643110753,0.005003516407798146,-0.013568062596132876,0.03103237666115081,0.04966975271341552,0.003046810961751744,-0.04824481132850346,-0.02537908454017278,-0.011925318639843776,0.02375550540294235,-0.1593182491826528,0.05695889367453942,-0.04766735038020096,-0.027390404245794267,0.04256701403112048
Basque,0.024190372473608394,0.0033185418380543103,-0.015101525664406696,0.026399567136677907,-0.004276667272908979,0.04012873488314024,-0.01387767187784575,0.016031006477661227,-0.026252925858981778,-0.02436522109411745,-0.09611101937261182,0.004957914567420721,-0.013689342924936444,0.03097223423140083,0.05053971764882279,0.002863090222759874,-0.048423948772792484,-0.02550789974144379,-0.012429486133780457,0.024365228391537555,-0.16027989389860525,0.05720194695020464,-0.04809748537677416,-0.02757836701854083,0.04252102361731148
Central_African,0.01570607343895355,0.0022273294007454894,-0.015377766121515818,0.02683834773661272,-0.005335381469611638,0.04059147048410587,-0.014145689783945994,0.016275515153651863,-0.026753574282596,-0.02699984126316153,-0.09640600479825442,0.006278761350685893,-0.01502923052495622,0.03129117545298832,0.04806675681097068,0.004292147828589447,-0.04985069557324634,-0.025520846595421566,-0.012568280324625421,0.024660609663129482,-0.15911499170811824,0.05733840430632858,-0.04767233697688634,-0.027318137413923638,0.04242830948365387
Central_Euro,0.02398850847823088,0.0030916943732653083,-0.014912630977438343,0.027152174695260236,-0.004651804266051376,0.04049516098889253,-0.013876074478030053,0.015985789294086717,-0.02709862682451264,-0.0256539370935463,-0.09599511233369683,0.004760219524594247,-0.013443830839428897,0.031349131732705704,0.05000122058231364,0.002981445313310272,-0.04837877240767535,-0.025358142959728016,-0.011917948883702133,0.024363527478028606,-0.15924580645697814,0.05696898691739544,-0.04748822799155486,-0.026872947638561066,0.04227890493367061
East_African,0.01788602781924741,0.002438992660619173,-0.01572385450115589,0.026151629548587543,-0.005267770854900919,0.03995757881151918,-0.01386704233944278,0.01593057015427994,-0.0259002223281619,-0.026647065469647072,-0.09594247043547917,0.004989965688119057,-0.013896620693681116,0.031113376316463045,0.05012917536233169,0.002512810336643456,-0.0481213780588636,-0.025523761576185845,-0.011681054207955927,0.023852495747165987,-0.15921056024124847,0.05700707786937307,-0.04773883944382938,-0.027298194680677425,0.042469054324297616
East_Asian,0.022841348555374848,-0.0031707785251214255,-0.015495862729301703,0.025821260889746577,-0.00479452281867222,0.040337797756683315,-0.01380456500493856,0.015965149192182875,-0.027085876414470203,-0.02537533190502405,-0.0969476334798783,0.004810600570397035,-0.013350893216318611,0.03110095601030958,0.049874234402005065,0.002837040582372766,-0.04849366124917686,-0.025546135568181316,-0.012162901783445432,0.02425318555834132,-0.1592752599025991,0.05702186117486775,-0.04769975296158615,-0.027313768336666166,0.04229681129178278
East_Balkan,0.02400098428979192,0.002974893053797062,-0.015229909346058232,0.0265864236477185,-0.004943599099884419,0.040247373603863636,-0.013624146153775616,0.016091360524755644,-0.02707233169656944,-0.02551717433334765,-0.09585569372497359,0.004818987271031751,-0.013349653409227741,0.03158648047019908,0.04923804785564273,0.002711042731161772,-0.048064095933132066,-0.025538285124593343,-0.011786703772673442,0.024254562475272398,-0.15974136976622483,0.056976784359539276,-0.0474413933264586,-0.027266376500732534,0.04250683154967655
East_Central_Asian,0.022928784527204562,-0.0028525812203944526,-0.015073317651744066,0.025960382059004014,-0.005417603834435091,0.039992746802568375,-0.013679257449175515,0.0161338511534396,-0.02700996624197206,-0.0253632551882848,-0.09656145081307935,0.004891980008942513,-0.01349630976587749,0.0312029936718032,0.05000940567255821,0.0028718618850828077,-0.04853935573212014,-0.02556501730565752,-0.012112244092798331,0.024388370750330794,-0.1595553106174874,0.056979502138380565,-0.0478872086045952,-0.02734687543279879,0.04249605202433607
East_Central_Euro,0.023964073359306528,0.003143061917863597,-0.014842788617353456,0.02717244668470104,-0.004518346301699647,0.04053859208794878,-0.013745214700373098,0.01595272627561795,-0.026922325741643136,-0.025825386167550334,-0.09591540543863838,0.004738149589177871,-0.0130878890580614,0.03252754529411754,0.049468588501649924,0.002816711595053551,-0.048273240634176325,-0.025521786876182565,-0.012019009860913714,0.02414268362522731,-0.15886796423116226,0.056261524864527186,-0.0476793629768157,-0.027473033107943908,0.04275913198427347
East_Med,0.023573181827589024,0.0031932552421617593,-0.01621024879790159,0.025615883510367175,-0.0054043182491969035,0.03989939373954708,-0.01388757318045794,0.015871190933699406,-0.027014483564068287,-0.02544507071339028,-0.09568746693161233,0.004871759621854031,-0.013343365725464863,0.031071133369061074,0.04980561310245985,0.0029992324279978083,-0.048555405476838995,-0.02552566465439527,-0.012063361645626776,0.02415229877499426,-0.15935867361341097,0.057015667994621266,-0.047636072430121856,-0.027280598984800036,0.04254734672448625
